Datum;Standort;Disponent;Fahrzeuge;Stopps;Unverplante Stopps;Kosten Fuhrpark;Stoppschnitt;Stoppkosten
08.01.2026;Kassel;;;;;;;
08.01.2026;Berlin;;;;;;;
08.01.2026;Aschaffenburg;;;;;;;
08.01.2026;Renningen;;;;;;;
09.01.2026;Delmenhorst;;;;;;;
09.01.2026;Güstrow;;;;;;;
09.01.2026;Döbeln;;;;;;;
09.01.2026;Melle;;;;;;;
09.01.2026;Langenfeld;;;;;;;
09.01.2026;Kassel;;;;;;;
09.01.2026;Berlin;;;;;;;
09.01.2026;Aschaffenburg;;;;;;;
09.01.2026;Renningen;;;;;;;
12.01.2026;Delmenhorst;;;;;;;
12.01.2026;Güstrow;;;;;;;
12.01.2026;Döbeln;;;;;;;
12.01.2026;Melle;;;;;;;
12.01.2026;Langenfeld;;;;;;;
12.01.2026;Kassel;;;;;;;
12.01.2026;Berlin;;;;;;;
12.01.2026;Aschaffenburg;;;;;;;
12.01.2026;Renningen;;;;;;;
13.01.2026;Delmenhorst;;;;;;;
13.01.2026;Güstrow;;;;;;;
13.01.2026;Döbeln;;;;;;;
13.01.2026;Melle;;;;;;;
13.01.2026;Langenfeld;;;;;;;
13.01.2026;Kassel;;;;;;;
13.01.2026;Berlin;;;;;;;
13.01.2026;Aschaffenburg;;;;;;;
13.01.2026;Renningen;;;;;;;
14.01.2026;Delmenhorst;;;;;;;
14.01.2026;Güstrow;;;;;;;
14.01.2026;Döbeln;;;;;;;
14.01.2026;Melle;;;;;;;
14.01.2026;Langenfeld;;;;;;;
14.01.2026;Kassel;;;;;;;
14.01.2026;Berlin;;;;;;;
14.01.2026;Aschaffenburg;;;;;;;
14.01.2026;Renningen;;;;;;;
15.01.2026;Delmenhorst;;;;;;;
15.01.2026;Güstrow;;;;;;;
15.01.2026;Döbeln;;;;;;;
15.01.2026;Melle;;;;;;;
15.01.2026;Langenfeld;;;;;;;
15.01.2026;Kassel;;;;;;;
15.01.2026;Berlin;;;;;;;
15.01.2026;Aschaffenburg;;;;;;;
15.01.2026;Renningen;;;;;;;
16.01.2026;Delmenhorst;;;;;;;
16.01.2026;Güstrow;;;;;;;
16.01.2026;Döbeln;;;;;;;
16.01.2026;Melle;;;;;;;
16.01.2026;Langenfeld;;;;;;;
16.01.2026;Kassel;;;;;;;
16.01.2026;Berlin;;;;;;;
16.01.2026;Aschaffenburg;;;;;;;
16.01.2026;Renningen;;;;;;;
19.01.2026;Delmenhorst;;;;;;;
19.01.2026;Güstrow;;;;;;;
19.01.2026;Döbeln;;;;;;;
19.01.2026;Melle;;;;;;;
19.01.2026;Langenfeld;;;;;;;
19.01.2026;Kassel;;;;;;;
19.01.2026;Berlin;;;;;;;
19.01.2026;Aschaffenburg;;;;;;;
19.01.2026;Renningen;;;;;;;
20.01.2026;Delmenhorst;;;;;;;
20.01.2026;Güstrow;;;;;;;
20.01.2026;Döbeln;;;;;;;
20.01.2026;Melle;;;;;;;
20.01.2026;Langenfeld;;;;;;;
20.01.2026;Kassel;;;;;;;
20.01.2026;Berlin;;;;;;;
20.01.2026;Aschaffenburg;;;;;;;
20.01.2026;Renningen;;;;;;;
21.01.2026;Delmenhorst;;;;;;;
21.01.2026;Güstrow;;;;;;;
21.01.2026;Döbeln;;;;;;;
21.01.2026;Melle;;;;;;;
21.01.2026;Langenfeld;;;;;;;
21.01.2026;Kassel;;;;;;;
21.01.2026;Berlin;;;;;;;
21.01.2026;Aschaffenburg;;;;;;;
21.01.2026;Renningen;;;;;;;
22.01.2026;Delmenhorst;;;;;;;
22.01.2026;Güstrow;;;;;;;
22.01.2026;Döbeln;;;;;;;
22.01.2026;Melle;;;;;;;
22.01.2026;Langenfeld;;;;;;;
22.01.2026;Kassel;;;;;;;
22.01.2026;Berlin;;;;;;;
22.01.2026;Aschaffenburg;;;;;;;
22.01.2026;Renningen;;;;;;;
23.01.2026;Delmenhorst;;;;;;;
23.01.2026;Güstrow;;;;;;;
23.01.2026;Döbeln;;;;;;;
23.01.2026;Melle;;;;;;;
23.01.2026;Langenfeld;;;;;;;
23.01.2026;Kassel;;;;;;;
23.01.2026;Berlin;;;;;;;
23.01.2026;Aschaffenburg;;;;;;;
23.01.2026;Renningen;;;;;;;
26.01.2026;Delmenhorst;;;;;;;
26.01.2026;Güstrow;;;;;;;
26.01.2026;Döbeln;;;;;;;
26.01.2026;Melle;;;;;;;
26.01.2026;Langenfeld;;;;;;;
26.01.2026;Kassel;;;;;;;
26.01.2026;Berlin;;;;;;;
26.01.2026;Aschaffenburg;;;;;;;
26.01.2026;Renningen;;;;;;;
27.01.2026;Delmenhorst;;;;;;;
27.01.2026;Güstrow;;;;;;;
27.01.2026;Döbeln;;;;;;;
27.01.2026;Melle;;;;;;;
27.01.2026;Langenfeld;;;;;;;
27.01.2026;Kassel;;;;;;;
27.01.2026;Berlin;;;;;;;
27.01.2026;Aschaffenburg;;;;;;;
27.01.2026;Renningen;;;;;;;
28.01.2026;Delmenhorst;;;;;;;
28.01.2026;Güstrow;;;;;;;
28.01.2026;Döbeln;;;;;;;
28.01.2026;Melle;;;;;;;
28.01.2026;Langenfeld;;;;;;;
28.01.2026;Kassel;;;;;;;
28.01.2026;Berlin;;;;;;;
28.01.2026;Aschaffenburg;;;;;;;
28.01.2026;Renningen;;;;;;;
29.01.2026;Delmenhorst;;;;;;;
29.01.2026;Güstrow;;;;;;;
29.01.2026;Döbeln;;;;;;;
29.01.2026;Melle;;;;;;;
29.01.2026;Langenfeld;;;;;;;
29.01.2026;Kassel;;;;;;;
29.01.2026;Berlin;;;;;;;
29.01.2026;Aschaffenburg;;;;;;;
29.01.2026;Renningen;;;;;;;
30.01.2026;Delmenhorst;;;;;;;
30.01.2026;Güstrow;;;;;;;
30.01.2026;Döbeln;;;;;;;
30.01.2026;Melle;;;;;;;
30.01.2026;Langenfeld;;;;;;;
30.01.2026;Kassel;;;;;;;
30.01.2026;Berlin;;;;;;;
30.01.2026;Aschaffenburg;;;;;;;
30.01.2026;Renningen;;;;;;;
